date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:57	7469/7469	---M--	200	added ('OK')	application/javascript	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/plugins/apex/custom-apexcharts.js	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/apex/custom-apexcharts.js	(from https://designreset.com/cork/ltr/demo3/charts_apex.html)
00:03:58	771/771	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/arrow-down.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/arrow-down.png	(from https://designreset.com/cork/ltr/demo3/assets/css/main.css)
00:03:59	74147/74147	---M--	200	added ('OK')	image/png	etag:%229916a7a52bbeba1637e740a61560d224%22	https://cdn.pixabay.com/photo/2015/12/10/16/39/shield-1086703_960_720.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/cdn.pixabay.com/photo/2015/12/10/16/39/shield-1086703_960_720.png	(from https://designreset.com/cork/ltr/demo3/assets/css/authentication/form-1.css)
00:04:00	9855/9855	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/bg.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/bg.png	(from https://designreset.com/cork/ltr/demo3/assets/css/apps/mailing-chat.css)
00:04:00	40255/40255	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/video-chat-2.jpg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/video-chat-2.jpg	(from https://designreset.com/cork/ltr/demo3/assets/css/apps/mailing-chat.css)
00:04:00	7006/7006	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_444444_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_444444_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:00	7074/7074	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_555555_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_555555_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:01	6313/6313	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_ffffff_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_ffffff_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:01	4676/4676	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_777620_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_777620_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:01	4632/4632	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_cc0000_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_cc0000_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:02	7013/7013	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_777777_256x240.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/jquery-ui/images/ui-icons_777777_256x240.png	(from https://designreset.com/cork/ltr/demo3/plugins/jquery-ui/jquery-ui.min.css)
00:04:03	547/547	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.png	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.png	(from https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.css)
00:04:03	1554/1554	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.svg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.svg	(from https://designreset.com/cork/ltr/demo3/plugins/lightbox/default-skin/default-skin.css)
